gene_a,gene_b,fr_label,sl_label,source_GI_flag,PC9_GI_flag,HeLa_GI_flag,PC9_GI_score,PC9_GI_fdr,HeLa_GI_score,HeLa_GI_fdr
ANGPTL1,ANGPTL2,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.147861381335954,0.251430800213633,-0.105628723951416,0.551262458231494
ATP13A4,ATP13A5,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.14683931865985,0.457758435952233,-0.0683037236784612,0.66312932505945
PFN2,PFN1,FR_negative,True,synthetic_lethal,neither_in_PC9,SL_in_HeLa,-0.146477536625962,0.735643196306999,-0.522723229355584,0.0557187781457326
EPC2,EPC1,FR_negative,True,synthetic_lethal,neither_in_PC9,SL_in_HeLa,-0.143459569803662,0.566269637164956,-0.885415489580437,0.0146421815729845
ELOVL1,ELOVL7,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.142838377184941,0.767584511722897,0.188192188916981,0.332518327881287
ZNF423,ZNF521,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.142723705591885,0.258765264843913,-0.132866048480835,0.483496165507837
SLC9A4,SLC9A2,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.142193773310851,0.380265760247915,-0.0964748414509312,0.237480889847403
SEPT3,SEPT12,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.14189797089417,0.469248852987459,-0.156646939498148,0.257817791207905
FAM209B,FAM209A,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.137297994379753,0.479945136437964,0.265087149584226,0.198930113632472
TACR3,TACR1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.137258825744798,0.485134671832334,0.0655680100066498,0.730017580907386
RANBP17,XPO7,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.137013249179309,0.517795735608762,-0.293672550256335,0.00715457618686465
LARP1B,LARP1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.136198478531535,0.602144183360061,-0.428642912048295,0.264471154368985
AP3S1,AP3S2,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.135907828173864,0.530195787416603,-0.0475370761899376,0.730017580907386
